CaseName	EndPointSituation	RequestAmount	CreditScore	Variant	NumberOfOffers	LoanGoal
Application_1384829335	0	0.0	1054	10	1	Unknown
Application_1765498554	2	5000.0	0	19	2	Car
Application_1550524830	0	10000.0	1011	3	1	Homeimprovement
Application_1195225686	2	40000.0	0	1	1	Existingloantakeover
Application_1567315390	0	15000.0	0	5	1	Homeimprovement
Application_484468921	0	10000.0	795	1247	3	Homeimprovement
Application_398524446	0	20000.0	869	58	2	Remainingdebthome
Application_624108697	2	25000.0	0	1	1	Homeimprovement
Application_831831620	2	14500.0	0	142	1	Existingloantakeover
Application_1555969086	1	20000.0	0	9	1	Other,seeexplanation
Application_1540334142	2	17500.0	0	13	1	Car
Application_395422459	0	25000.0	1034	3	1	Homeimprovement
Application_1477407703	2	9487.0	0	1248	2	Existingloantakeover
Application_2091326544	0	20000.0	887	43	1	Other,seeexplanation
Application_1003575962	2	42000.0	0	1	1	Existingloantakeover
Application_1703039750	0	35000.0	1004	50	1	Homeimprovement
Application_687807836	0	40000.0	861	3	1	Existingloantakeover
Application_1611324991	1	5000.0	0	1249	3	Homeimprovement
Application_975277732	0	25000.0	983	84	2	Existingloantakeover
Application_2121014576	2	10000.0	0	541	4	Car
Application_293542118	2	14500.0	0	88	1	Car
Application_1174109909	1	5000.0	0	98	2	Car
Application_1978945935	2	15000.0	0	1	1	Car
Application_1395319206	1	15000.0	0	9	1	Existingloantakeover
Application_523273413	2	7500.0	0	1	1	Motorcycle
Application_471764571	2	5000.0	0	60	3	Car
Application_683212067	0	11500.0	0	12	1	Car
Application_1183938040	0	10000.0	0	5	1	Car
Application_2036015470	2	8000.0	0	64	1	Car
Application_1542239327	1	40000.0	0	1250	1	Car
Application_1908330917	2	22400.0	0	27	2	Car
Application_713863600	1	5000.0	0	59	2	Car
Application_1759188614	2	8500.0	0	13	1	Car
Application_2129390146	0	8000.0	796	25	1	Homeimprovement
Application_2083125755	0	10000.0	878	36	2	Homeimprovement
Application_290531407	2	10000.0	0	4	1	Homeimprovement
Application_1191408306	0	0.0	752	8	1	Unknown
Application_313994677	0	10000.0	956	183	1	Other,seeexplanation
Application_1704107081	0	15000.0	911	3	1	Existingloantakeover
Application_1607496739	0	25000.0	819	1251	2	Homeimprovement
Application_1026359360	2	5000.0	0	30	1	Car
Application_259543267	2	10000.0	0	87	2	Car
Application_330481586	2	12500.0	0	16	1	Homeimprovement
Application_1184633896	2	20000.0	0	14	2	Remainingdebthome
Application_1475013193	2	10000.0	0	4	1	Car
Application_1790887026	2	10000.0	0	7	1	Car
Application_79612630	2	10000.0	0	60	3	Homeimprovement
Application_2085485752	0	20000.0	0	5	1	Car
Application_1028636694	2	10000.0	0	27	2	Car
Application_1370354556	1	10000.0	0	38	1	Unknown
Application_1475582405	0	30000.0	882	43	1	Existingloantakeover
Application_1251867792	0	5000.0	1014	2	1	Notspeficied
Application_169347982	0	7000.0	725	1252	2	Car
Application_1577840586	0	15000.0	938	10	1	Homeimprovement
Application_1670011597	2	5000.0	0	27	2	Homeimprovement
Application_1893449548	0	6700.0	1027	1253	4	Car
Application_858669578	0	10000.0	728	751	4	Car
Application_1174593044	0	5000.0	935	786	4	Car
Application_721068860	0	5000.0	626	1254	2	Other,seeexplanation
Application_1610536940	0	22000.0	867	1255	3	Remainingdebthome
Application_1632603053	0	35000.0	748	10	1	Existingloantakeover
Application_1985161782	2	20000.0	0	1	1	Car
Application_259313307	2	10000.0	0	322	2	Existingloantakeover
Application_1791016953	2	0.0	0	4	1	Existingloantakeover
Application_215620397	0	40000.0	0	12	1	Existingloantakeover
Application_931374942	0	33000.0	865	1256	3	Remainingdebthome
Application_708182203	0	7000.0	815	12	1	Other,seeexplanation
Application_644511070	0	15000.0	922	3	1	Car
Application_1950286321	0	7000.0	1011	752	4	Homeimprovement
Application_16686366	1	35000.0	0	9	1	Car
Application_1504235513	0	11500.0	888	2	1	Existingloantakeover
Application_1727459744	2	25000.0	0	1	1	Homeimprovement
Application_167513808	0	15000.0	1004	3	1	Car
Application_645400256	1	49000.0	0	9	1	Existingloantakeover
Application_1281121201	0	20000.0	796	1257	6	Car
Application_857488446	0	8200.0	919	53	2	Existingloantakeover
Application_495055221	2	20000.0	0	13	1	Homeimprovement
Application_272003201	2	15000.0	0	791	8	Car
Application_950858559	2	15000.0	0	13	1	Existingloantakeover
Application_192004010	2	5000.0	0	1258	5	Existingloantakeover
Application_791250493	1	13000.0	0	1259	3	Unknown
Application_1722650965	0	17000.0	938	717	2	Other,seeexplanation
Application_1655935522	0	0.0	919	1260	3	Unknown
Application_60321550	1	15000.0	0	38	1	Homeimprovement
Application_242384872	1	22000.0	0	70	2	Other,seeexplanation
Application_2068499313	2	5000.0	0	1	1	Homeimprovement
Application_254293856	2	20000.0	0	1	1	Existingloantakeover
Application_986145091	0	50000.0	896	401	1	Homeimprovement
Application_1887496153	0	13000.0	821	17	1	Car
Application_1578519766	0	5000.0	927	833	2	Car
Application_2000400044	2	43000.0	0	1	1	Notspeficied
Application_1303088153	0	10000.0	0	5	1	Car
Application_496615464	0	22500.0	715	5	1	Other,seeexplanation
Application_127976473	2	17500.0	0	1261	3	Homeimprovement
Application_1213442381	0	5000.0	1071	200	2	Unknown
Application_323872264	2	20000.0	0	1262	4	Remainingdebthome
Application_1426045114	2	25000.0	0	1	1	Remainingdebthome
Application_85990857	0	20000.0	1011	3	1	Homeimprovement
Application_927318943	0	20000.0	982	67	2	Car
Application_2002661262	0	17000.0	889	84	2	Car
Application_1426517064	1	7750.0	0	44	1	Car
Application_1674929512	0	15000.0	631	3	1	Extraspendinglimit
Application_460586697	2	5000.0	0	16	1	Homeimprovement
Application_594429699	2	10000.0	0	1263	5	Homeimprovement
Application_1879621755	0	6000.0	612	1264	4	Car
Application_1056392515	0	15000.0	965	1265	3	Remainingdebthome
Application_1785280378	2	8500.0	0	60	3	Car
Application_195410943	2	10000.0	0	1	1	Car
Application_1369360241	0	20000.0	752	2	1	Other,seeexplanation
Application_491256589	1	15000.0	0	1266	2	Car
Application_415292216	2	50000.0	0	1	1	Existingloantakeover
Application_1069059697	0	17500.0	1059	3	1	Existingloantakeover
Application_1365943918	1	6000.0	0	9	1	Homeimprovement
Application_851793685	0	27000.0	750	23	1	Existingloantakeover
Application_237090301	0	6000.0	816	28	2	Car
Application_1083971641	0	9250.0	816	627	2	Notspeficied
Application_384575262	0	15000.0	797	25	1	Car
Application_742871702	0	0.0	785	1267	1	Unknown
Application_419022994	0	16000.0	799	3	1	Homeimprovement
Application_1010573951	0	0.0	924	10	1	Unknown
Application_661358752	0	10000.0	727	3	1	Notspeficied
Application_1065261182	0	5000.0	978	1268	2	Homeimprovement
Application_606242862	0	5000.0	899	149	1	Other,seeexplanation
Application_1540868153	2	25000.0	0	45	2	Existingloantakeover
Application_1648118746	1	20000.0	0	231	3	Homeimprovement
Application_1985375927	2	38000.0	0	439	1	Existingloantakeover
Application_1288525689	0	15000.0	922	3	1	Car
Application_921806554	0	25000.0	1070	3	1	Existingloantakeover
Application_1362518827	2	5000.0	0	16	1	Existingloantakeover
Application_2043474287	0	27500.0	635	8	1	Existingloantakeover
Application_1552064510	2	18000.0	0	1	1	Existingloantakeover
Application_1858588614	1	0.0	0	20	1	Unknown
Application_1322519399	0	15000.0	0	5	1	Car
Application_1672329173	0	40000.0	0	5	1	Other,seeexplanation
Application_1701943074	0	20000.0	986	595	2	Homeimprovement
Application_2051660661	0	40000.0	0	5	1	Homeimprovement
Application_1033307487	0	0.0	0	39	1	Unknown
Application_553178685	0	0.0	941	362	1	Unknown
Application_1548427030	2	44000.0	0	324	1	Existingloantakeover
Application_1158157360	2	7500.0	0	1	1	Existingloantakeover
Application_836713736	0	5000.0	901	1269	2	Homeimprovement
Application_141798078	0	25000.0	1001	629	1	Notspeficied
Application_552484031	0	6000.0	977	43	1	Homeimprovement
Application_773469136	1	0.0	0	20	1	Unknown
Application_245612900	0	35000.0	791	5	1	Homeimprovement
Application_1703977531	0	25000.0	817	37	2	Car
Application_142824357	0	35000.0	0	5	1	Other,seeexplanation
Application_998130267	1	13000.0	0	109	1	Existingloantakeover
Application_776125012	0	0.0	981	10	1	Caravan/Camper
Application_425213594	2	25000.0	0	165	2	Existingloantakeover
Application_716813627	2	5000.0	0	19	2	Car
Application_2034039470	0	0.0	0	106	2	Unknown
Application_1668055532	2	28000.0	0	118	2	Homeimprovement
Application_92373426	0	19900.0	868	5	1	Caravan/Camper
Application_158442522	0	30000.0	910	35	1	Existingloantakeover
Application_354089896	2	8000.0	0	19	2	Notspeficied
Application_1300565714	0	50000.0	894	26	1	Existingloantakeover
Application_1294812721	2	0.0	0	27	2	Other,seeexplanation
Application_1796224575	0	10000.0	775	847	2	Homeimprovement
Application_781837969	2	5000.0	0	87	2	Car
Application_366725999	0	25000.0	0	12	1	Homeimprovement
Application_151699612	2	6000.0	0	45	2	Homeimprovement
Application_54468310	0	5000.0	1051	1270	5	Homeimprovement
Application_294789523	0	10000.0	898	388	3	Existingloantakeover
Application_1695855849	2	29000.0	0	1	1	Car
Application_2020254211	2	5000.0	0	19	2	Homeimprovement
Application_754442079	0	5000.0	730	255	2	Car
Application_75345119	0	0.0	0	701	1	Unknown
Application_1358647326	0	10000.0	885	2	1	Homeimprovement
Application_1035248618	0	10000.0	988	84	2	Car
Application_771712321	2	5000.0	0	64	1	Car
Application_146041854	0	10000.0	775	5	1	Other,seeexplanation
Application_77126964	2	20000.0	0	19	2	Existingloantakeover
Application_302165417	2	10000.0	0	13	1	Taxpayments
Application_1358464831	2	0.0	0	13	1	Unknown
Application_1851326830	2	5000.0	0	7	1	Car
Application_1504566293	0	16000.0	626	166	3	Car
Application_1862585299	2	5500.0	0	1	1	Car
Application_855823740	0	10000.0	707	3	1	Existingloantakeover
Application_1213984554	2	40000.0	0	41	2	Existingloantakeover
Application_218621102	2	11000.0	0	19	2	Car
Application_246715140	0	20000.0	825	2	1	Homeimprovement
Application_1380269741	0	15500.0	927	1271	2	Car
Application_80740465	1	10000.0	0	553	2	Notspeficied
Application_1289903575	2	6000.0	0	1	1	Existingloantakeover
Application_1976397876	2	15000.0	0	19	2	Other,seeexplanation
Application_1539926534	2	10000.0	0	1	1	Notspeficied
Application_717059171	0	0.0	864	111	1	Unknown
Application_778384326	0	30700.0	902	57	1	Remainingdebthome
Application_1073120423	0	20000.0	727	5	1	Car
Application_1288073304	2	14000.0	0	19	2	Car
Application_2145048800	0	6500.0	877	22	1	Homeimprovement
Application_1184169516	1	37000.0	0	70	2	Existingloantakeover
Application_597031362	2	15500.0	0	13	1	Car
Application_1535542253	0	30000.0	0	243	2	Homeimprovement
Application_2110565193	2	16000.0	0	19	2	Car
Application_1879234051	0	0.0	0	122	1	Homeimprovement
Application_1365383501	2	35000.0	0	13	1	Homeimprovement
Application_2108119743	1	5000.0	0	24	1	Car
Application_797483629	0	46000.0	997	32	1	Car
Application_472631767	0	8000.0	901	1272	4	Existingloantakeover
Application_148281004	2	20000.0	0	1	1	Homeimprovement
Application_782694048	0	0.0	0	5	1	Homeimprovement
Application_609259486	2	5000.0	0	604	3	Homeimprovement
Application_1690291723	0	50000.0	822	5	1	Homeimprovement
Application_2002434573	2	5000.0	0	7	1	Other,seeexplanation
Application_1305062269	0	12500.0	606	1273	2	Car
Application_926295021	1	25000.0	0	9	1	Car
Application_75438737	0	50000.0	0	12	1	Homeimprovement
Application_923895936	0	0.0	0	297	2	Unknown
Application_482211839	2	8000.0	0	14	2	Homeimprovement
Application_873908407	2	0.0	0	27	2	Unknown
Application_907055851	0	0.0	840	650	2	Unknown
Application_659438407	2	15000.0	0	1274	4	Car
Application_533609691	2	6000.0	0	4	1	Car
Application_149418612	2	35000.0	0	1	1	Existingloantakeover
Application_2057487388	0	25000.0	941	1275	2	Remainingdebthome
Application_680456830	0	25000.0	930	17	1	Homeimprovement
Application_1312247440	0	5000.0	1061	263	2	Car
Application_268737670	2	8000.0	0	27	2	Car
Application_452736501	0	0.0	908	56	2	Unknown
Application_844115755	0	22000.0	958	51	2	Existingloantakeover
Application_453943862	0	28000.0	761	1276	4	Homeimprovement
Application_996369948	0	0.0	950	12	1	Unknown
Application_941373642	0	25000.0	834	17	1	Existingloantakeover
Application_617110337	2	5000.0	0	963	1	Other,seeexplanation
Application_1615512391	0	350000.0	966	8	1	Homeimprovement
Application_1309696496	0	20000.0	811	10	1	Existingloantakeover
Application_98204416	0	25000.0	700	935	3	Existingloantakeover
Application_880260699	0	0.0	819	1277	2	Unknown
Application_1835125945	1	5000.0	0	20	1	Homeimprovement
Application_1983516789	2	17000.0	0	168	4	Other,seeexplanation
Application_912018460	2	25000.0	0	74	1	Unknown
Application_528715174	2	16000.0	0	19	2	Car
Application_1241872851	0	6500.0	742	1278	2	Car
Application_1978688435	0	0.0	679	56	2	Unknown
Application_1896874442	2	5000.0	0	1	1	Motorcycle
Application_259927004	2	16000.0	0	4	1	Car
Application_449945337	0	15000.0	984	28	2	Remainingdebthome
Application_772597896	2	9000.0	0	4	1	Car
Application_1882929618	0	10000.0	1029	3	1	Car
Application_945315562	1	8000.0	0	59	2	Other,seeexplanation
Application_2029448969	0	25000.0	898	3	1	Existingloantakeover
Application_1617174767	0	5000.0	1080	10	1	Car
Application_136745525	0	10000.0	756	413	3	Homeimprovement
Application_7934432	0	6000.0	1048	3	1	Car
Application_1604024201	2	19000.0	0	87	2	Notspeficied
Application_647959281	0	20000.0	891	751	4	Homeimprovement
Application_457372717	0	12500.0	967	1279	5	Car
Application_1954238527	0	5500.0	1061	3	1	Car
Application_81204346	1	6000.0	0	9	1	Homeimprovement
Application_1258267186	0	23500.0	797	1280	2	Car
Application_993168875	2	30000.0	0	1	1	Car
Application_1985519013	1	5000.0	0	85	1	Homeimprovement
Application_1324906690	2	5000.0	0	1	1	Car
Application_941143913	1	10000.0	0	471	3	Existingloantakeover
Application_1825002825	0	7250.0	836	3	1	Car
Application_1012709826	0	33500.0	0	77	1	Existingloantakeover
Application_1746803314	0	12000.0	722	5	1	Existingloantakeover
Application_1549129653	2	25000.0	0	1	1	Homeimprovement
Application_575749274	0	25000.0	970	1281	3	Other,seeexplanation
Application_495851449	2	9000.0	0	27	2	Other,seeexplanation
Application_1949380764	2	13000.0	0	1282	2	Car
Application_1190248480	0	22500.0	688	2	1	Car
Application_1649230612	1	10000.0	0	9	1	Existingloantakeover
Application_541009281	1	25000.0	0	20	1	Other,seeexplanation
Application_1404994331	0	0.0	928	82	1	Unknown
Application_465243941	2	30000.0	0	14	2	Homeimprovement
Application_115289906	0	0.0	908	8	1	Unknown
Application_533036254	2	48000.0	0	74	1	Other,seeexplanation
Application_1425945463	0	6000.0	865	113	3	Car
Application_994422071	2	5000.0	0	19	2	Car
Application_2145965847	0	31500.0	856	8	1	Existingloantakeover
Application_755863053	2	15000.0	0	13	1	Extraspendinglimit
Application_454568372	2	12000.0	0	13	1	Homeimprovement
Application_881056301	0	27000.0	853	130	1	Existingloantakeover
Application_177461216	0	8000.0	908	37	2	Car
Application_509062695	0	6000.0	850	1283	3	Car
Application_1583309310	0	34000.0	745	426	2	Car
Application_1393640447	0	20000.0	0	5	1	Car
Application_1221068437	0	25000.0	847	3	1	Car
Application_1031669296	0	10000.0	982	11	1	Car
Application_1101795254	2	41000.0	0	4	1	Existingloantakeover
Application_637980904	2	5000.0	0	60	3	Car
Application_18753177	0	8000.0	928	171	2	Car
Application_1064257044	0	10000.0	1030	154	3	Car
Application_1763392847	2	9300.0	0	133	3	Car
Application_1009442649	0	20000.0	750	711	1	Existingloantakeover
Application_1938510031	0	15500.0	950	1284	3	Car
Application_2141502911	2	10000.0	0	1	1	Car
Application_1640424572	0	8000.0	1021	26	1	Car
Application_1425477698	0	8000.0	970	3	1	Homeimprovement
Application_15283814	2	10000.0	0	834	2	Existingloantakeover
Application_1220698388	2	10000.0	0	213	3	Car
Application_1713473401	0	5000.0	972	28	2	Car
Application_23872008	2	25000.0	0	1285	3	Existingloantakeover
Application_660080351	0	20000.0	877	1286	3	Homeimprovement
Application_2123566051	0	15000.0	895	1287	3	Car
Application_424654052	0	9500.0	899	154	3	Car
Application_1041235702	0	15000.0	895	2	1	Homeimprovement
Application_792214089	2	5000.0	0	45	2	Car
Application_414981334	0	15000.0	918	210	3	Homeimprovement
Application_2082160	2	5000.0	0	1	1	Extraspendinglimit
Application_621477569	0	5000.0	1100	3	1	Homeimprovement
Application_844596014	2	45000.0	0	1	1	Homeimprovement
Application_94526407	2	50000.0	0	1	1	Caravan/Camper
Application_128519535	2	25700.0	0	7	1	Existingloantakeover
Application_314632032	0	17500.0	958	17	1	Existingloantakeover
Application_1224632	2	30000.0	0	1	1	Homeimprovement
Application_765615310	0	17000.0	661	1288	2	Homeimprovement
Application_1829498694	0	10000.0	819	2	1	Car
Application_1200112574	2	10000.0	0	1	1	Car
Application_317628520	0	30000.0	922	523	2	Homeimprovement
Application_224544240	2	8000.0	0	45	2	Car
Application_1229382	0	15000.0	923	3	1	Homeimprovement
Application_407168399	0	15000.0	833	446	2	Existingloantakeover
Application_1335269673	2	5500.0	0	1	1	Existingloantakeover
Application_1741752833	0	30000.0	662	1289	4	Other,seeexplanation
Application_1383652695	2	41000.0	0	165	2	Existingloantakeover
Application_1379369585	0	20000.0	1025	1290	5	Car
Application_1946407808	1	15000.0	0	782	3	Homeimprovement
Application_1771649664	0	16500.0	683	447	2	Car
Application_2130181334	0	6000.0	985	28	2	Existingloantakeover
Application_265850728	2	10000.0	0	1	1	Homeimprovement
Application_489032208	0	15000.0	663	2	1	Car
Application_451341004	0	5000.0	895	2	1	Homeimprovement
Application_850467381	1	14988.0	0	9	1	Other,seeexplanation
Application_1092887991	2	12500.0	0	19	2	Car
Application_1231253515	2	5000.0	0	45	2	Existingloantakeover
Application_2120574685	2	30000.0	0	41	2	Existingloantakeover
Application_89713165	0	30000.0	804	6	1	Notspeficied
Application_455409253	2	13000.0	0	1	1	Existingloantakeover
Application_1539830369	0	25000.0	813	2	1	Other,seeexplanation
Application_1325448893	2	15000.0	0	19	2	Car
Application_2118231444	2	17000.0	0	30	1	Car
Application_778872859	2	5000.0	0	19	2	Homeimprovement
Application_295621625	0	10000.0	814	1291	3	Homeimprovement
Application_1681082552	2	20000.0	0	213	3	Homeimprovement
Application_1331684871	0	16000.0	814	40	2	Existingloantakeover
Application_1717778705	1	6500.0	0	59	2	Homeimprovement
Application_2127568235	0	10000.0	956	506	2	Car
Application_810206646	2	18700.0	0	27	2	Existingloantakeover
Application_485890621	0	10000.0	831	8	1	Car
Application_634004489	2	29000.0	0	13	1	Notspeficied
Application_271970168	0	50000.0	0	12	1	Motorcycle
Application_1804119617	0	17000.0	931	1292	4	Car
Application_1479890882	0	50000.0	833	5	1	Homeimprovement
Application_1858996937	0	25000.0	1008	3	1	Homeimprovement
Application_2111584636	0	20000.0	0	12	1	Other,seeexplanation
Application_1416905673	0	25000.0	0	5	1	Other,seeexplanation
Application_594434634	0	0.0	902	495	2	Car
Application_910353536	2	40000.0	0	135	2	Car
Application_290376432	0	15000.0	0	12	1	Car
Application_25548149	0	12500.0	865	23	1	Car
Application_669688203	2	12500.0	0	13	1	Car
Application_488589945	0	30000.0	0	12	1	Existingloantakeover
Application_1249541093	0	8500.0	0	5	1	Car
Application_1473420206	0	32000.0	0	12	1	Homeimprovement
Application_2122367472	0	30000.0	0	39	1	Homeimprovement
Application_1242051884	0	15000.0	0	5	1	Car
Application_1962237641	1	15000.0	0	71	1	Other,seeexplanation
Application_593154546	0	25000.0	0	5	1	Car
Application_248922690	0	0.0	1004	1293	1	Unknown
Application_488224440	0	29000.0	855	8	1	Car
Application_1786368292	2	6000.0	0	45	2	Existingloantakeover
Application_833464752	2	25000.0	0	4	1	Other,seeexplanation
Application_1356785124	0	15000.0	903	8	1	Homeimprovement
Application_1426077033	2	10000.0	0	13	1	Remainingdebthome
Application_1855877177	0	27500.0	856	34	2	Existingloantakeover
Application_1539905348	2	35000.0	0	7	1	Existingloantakeover
Application_1901696338	2	17500.0	0	13	1	Existingloantakeover
Application_912474149	0	25000.0	893	238	3	Unknown
Application_554573834	2	20000.0	0	7	1	Other,seeexplanation
Application_465385333	0	15000.0	853	984	4	Homeimprovement
Application_170859515	0	25000.0	594	1294	5	Existingloantakeover
Application_1540139721	0	15500.0	779	25	1	Existingloantakeover
Application_2041126083	0	10000.0	922	3	1	Car
Application_1896635826	0	10000.0	636	40	2	Homeimprovement
Application_1673257341	0	7000.0	994	2	1	Car
Application_469147996	0	16000.0	995	786	4	Car
Application_717736331	2	49900.0	0	1295	2	Existingloantakeover
Application_483605120	0	40000.0	769	906	2	Existingloantakeover
Application_933032251	0	15000.0	777	3	1	Homeimprovement
Application_1425749164	0	0.0	1089	11	1	Unknown
Application_1896170333	2	25000.0	0	86	1	Homeimprovement
Application_366844104	2	0.0	0	1296	4	Unknown
Application_322174930	0	0.0	0	5	1	Unknown
Application_714305626	0	17000.0	864	8	1	Existingloantakeover
Application_1778036754	0	20000.0	877	3	1	Car
Application_1252666486	2	50000.0	0	267	2	Homeimprovement
Application_1433194798	2	5000.0	0	19	2	Homeimprovement
Application_2144399616	1	5000.0	0	112	2	Homeimprovement
Application_1902119268	0	50000.0	0	106	2	Unknown
Application_1540200773	2	50000.0	0	1	1	Homeimprovement
Application_1822184158	2	24000.0	0	33	2	Other,seeexplanation
Application_1533067965	2	12500.0	0	27	2	Existingloantakeover
Application_1683645299	0	20000.0	1031	28	2	Homeimprovement
Application_914499148	2	50000.0	0	4	1	Car
Application_159971235	0	0.0	814	51	2	Unknown
Application_1650330561	2	9000.0	0	13	1	Homeimprovement
Application_1016541821	1	0.0	0	20	1	Unknown
Application_808098490	2	12000.0	0	27	2	Car
Application_365005469	2	5000.0	0	1	1	Other,seeexplanation
Application_85908702	1	32000.0	0	521	2	Extraspendinglimit
Application_717836535	0	8000.0	0	5	1	Existingloantakeover
Application_1781472642	0	10000.0	1003	1297	7	Car
Application_191880695	2	8500.0	0	1056	4	Car
Application_127979299	0	41500.0	920	1298	1	Notspeficied
Application_1237987137	2	5000.0	0	284	2	Car
Application_1848065357	0	5000.0	771	2	1	Homeimprovement
Application_2037628374	0	18000.0	853	1299	7	Remainingdebthome
Application_1276655609	0	23700.0	779	8	1	Homeimprovement
Application_1476535821	2	0.0	0	4	1	Car
Application_2064294962	2	5000.0	0	19	2	Car
Application_1046431914	0	10000.0	1011	543	2	Car
Application_546890434	0	0.0	0	5	1	Unknown
Application_152243611	2	20000.0	0	19	2	Homeimprovement
Application_1098278191	1	5000.0	0	18	1	Homeimprovement
Application_209381780	2	20000.0	0	1	1	Car
Application_1242034192	0	0.0	1115	1055	4	Unknown
Application_1622787637	0	25000.0	892	47	1	Existingloantakeover
Application_1972581511	0	7000.0	844	1300	3	Car
Application_970060650	0	15000.0	931	544	2	Existingloantakeover
Application_525204220	1	30000.0	0	9	1	Homeimprovement
Application_173674899	0	8250.0	818	544	2	Notspeficied
Application_514953619	0	6000.0	988	229	2	Homeimprovement
Application_839061698	1	35000.0	0	304	2	Homeimprovement
Application_190380041	0	10000.0	967	2	1	Notspeficied
Application_559666212	0	34200.0	938	1052	3	Remainingdebthome
Application_640428791	2	6000.0	0	60	3	Other,seeexplanation
Application_434032773	0	38000.0	906	21	1	Existingloantakeover
Application_1902291900	0	25000.0	912	208	2	Homeimprovement
Application_2034443967	2	15000.0	0	13	1	Homeimprovement
Application_884156117	0	15000.0	939	8	1	Other,seeexplanation
Application_1107406431	0	8300.0	717	51	2	Other,seeexplanation
Application_1901466720	2	50000.0	0	1	1	Existingloantakeover
Application_188816688	0	30000.0	891	201	1	Existingloantakeover
Application_1253132147	0	25000.0	976	1301	4	Remainingdebthome
Application_1959987660	0	20000.0	893	146	2	Homeimprovement
Application_445317204	2	50000.0	0	14	2	Businessgoal
Application_1125252924	0	15000.0	728	3	1	Car
Application_1314936947	1	19000.0	0	18	1	Existingloantakeover
Application_2048784582	2	9000.0	0	1	1	Notspeficied
Application_1424793760	1	32000.0	0	18	1	Existingloantakeover
Application_1400148989	0	7500.0	1037	1302	4	Existingloantakeover
Application_641373824	0	15000.0	732	28	2	Car
Application_811728365	0	37500.0	861	48	1	Notspeficied
Application_1626131140	2	5000.0	0	7	1	Car
Application_551821656	0	5000.0	982	1303	1	Car
Application_463555963	2	5000.0	0	45	2	Car
Application_45386541	2	5000.0	0	7	1	Existingloantakeover
Application_1166361203	0	5000.0	772	308	2	Car
Application_1414579741	2	13000.0	0	463	2	Other,seeexplanation
Application_985568475	0	7500.0	865	1304	5	Homeimprovement
Application_2003922422	2	47500.0	0	1	1	Existingloantakeover
Application_1359909977	0	25000.0	800	5	1	Car
Application_1574427605	2	45000.0	0	66	1	Remainingdebthome
Application_1764014060	2	9800.0	0	7	1	Existingloantakeover
Application_1333085731	0	5000.0	747	329	2	Car
Application_69382068	0	26000.0	887	34	2	Existingloantakeover
Application_831338763	0	0.0	938	56	2	Unknown
Application_944467305	0	10000.0	757	669	2	Other,seeexplanation
Application_2030631255	2	16000.0	0	7	1	Existingloantakeover
Application_1401164583	2	50000.0	0	1	1	Other,seeexplanation
Application_1616135935	2	13500.0	0	13	1	Existingloantakeover
Application_831730984	0	5000.0	937	2	1	Homeimprovement
Application_1427290987	0	11000.0	928	53	2	Car
Application_131484513	0	22300.0	1004	494	2	Car
Application_1647772582	0	20000.0	0	12	1	Other,seeexplanation
Application_1395988794	0	0.0	836	1305	3	Unknown
Application_1501922618	2	5000.0	0	7	1	Car
Application_1691560307	1	25000.0	0	1306	5	Existingloantakeover
Application_6328980	2	15300.0	0	27	2	Car
Application_773107692	0	5000.0	1045	777	2	Car
Application_428362155	0	25000.0	1068	21	1	Existingloantakeover
Application_1214558658	1	12500.0	0	24	1	Homeimprovement
Application_1003639640	0	40000.0	881	5	1	Homeimprovement
Application_1454535649	0	5000.0	1036	3	1	Car
Application_1008205514	0	6100.0	825	6	1	Existingloantakeover
Application_561130345	2	50000.0	0	1307	2	Homeimprovement
Application_1323708325	0	5000.0	984	522	3	Existingloantakeover
Application_30719814	0	15000.0	949	37	2	Homeimprovement
Application_1105059330	0	15000.0	743	1308	4	Remainingdebthome
Application_2134379778	1	5000.0	0	1309	3	Homeimprovement
Application_2033457619	0	30000.0	0	12	1	Homeimprovement
Application_615376232	0	50000.0	851	205	2	Boat
Application_1689244854	0	10000.0	914	1310	4	Existingloantakeover
Application_833171339	1	5000.0	0	9	1	Existingloantakeover
Application_2047144310	2	15600.0	0	4	1	Existingloantakeover
Application_525880617	0	7000.0	973	675	2	Homeimprovement
Application_228788134	0	9500.0	853	1311	5	Other,seeexplanation
Application_402680717	0	15000.0	925	569	2	Homeimprovement
Application_1350747714	0	12500.0	914	12	1	Caravan/Camper
Application_1708781666	0	36000.0	0	5	1	Car
Application_1809939891	2	27800.0	0	4	1	Existingloantakeover
Application_736442506	0	20000.0	856	28	2	Existingloantakeover
Application_2129672828	2	8000.0	0	4	1	Existingloantakeover
Application_374502556	0	17500.0	838	785	5	Car
Application_1805495181	0	15000.0	959	671	4	Existingloantakeover
Application_1331645730	0	6000.0	1031	1312	6	Other,seeexplanation
Application_1908199131	0	30000.0	921	2	1	Caravan/Camper
Application_1465503170	0	5600.0	1082	1313	4	Homeimprovement
Application_1776728393	0	5000.0	1004	2	1	Other,seeexplanation
Application_1453565909	1	5000.0	0	1314	5	Motorcycle
Application_1093376887	2	6000.0	0	499	4	Car
Application_507916546	0	14000.0	679	61	2	Unknown
Application_431447847	1	15000.0	0	1315	5	Existingloantakeover
Application_1409035639	0	9000.0	860	1316	4	Car
Application_200111985	0	16000.0	981	51	2	Homeimprovement
Application_1640786645	0	10000.0	1030	2	1	Other,seeexplanation
Application_690621848	0	10500.0	977	1317	2	Car
